year,month,country,count
1900,01,united kingdom,61
1900,02,united kingdom:south africa,43
1900,03,united kingdom,26
1900,04,united kingdom,23
1900,05,united kingdom,29
1900,06,china,42
1900,07,china,54
1900,08,china,42
1900,09,germany,13
1900,10,united kingdom,22
1900,11,united kingdom,25
1900,12,united kingdom,61
1901,01,united kingdom,46
1901,02,united kingdom,26
1901,03,russia,39
1901,04,russia,35
1901,05,united kingdom,26
1901,06,united kingdom,26
1901,07,united kingdom,35
1901,08,united kingdom,31
1901,09,united kingdom,37
1901,10,united kingdom,65
1901,11,united kingdom,59
1901,12,united kingdom,66
1902,01,united kingdom,56
1902,02,united kingdom,39
1902,03,united kingdom,34
1902,04,united kingdom,38
1902,05,france,26
1902,06,united kingdom,29
1902,07,united kingdom,17
1902,08,united kingdom,18
1902,09,united kingdom,14
1902,10,united kingdom,15
1902,11,united kingdom,17
1902,12,united kingdom:venezuela,38
1903,01,united kingdom,23
1903,02,united kingdom:germany,24
1903,03,united kingdom,17
1903,04,united kingdom,31
1903,05,united kingdom,17
1903,06,united kingdom,12
1903,07,united kingdom,21
1903,08,turkey,21
1903,09,united kingdom,19
1903,10,russia,23
1903,11,colombia,43
1903,12,panama,32
1904,01,russia,57
1904,02,russia,106
1904,03,russia,62
1904,04,russia,57
1904,05,russia,56
1904,06,russia,46
1904,07,russia,39
1904,08,russia,58
1904,09,russia,48
1904,10,russia,48
1904,11,russia,41
1904,12,russia,31
1905,01,russia,42
1905,02,russia,36
1905,03,russia,46
1905,04,russia,27
1905,05,russia,51
1905,06,russia,63
1905,07,russia,33
1905,08,russia,47
1905,09,japan,28
1905,10,russia,17
1905,11,russia,36
1905,12,russia,50
1906,01,united kingdom,22
1906,02,france,15
1906,03,germany,19
1906,04,italy,11
1906,05,united kingdom,18
1906,06,united kingdom,21
1906,07,united kingdom,23
1906,08,united kingdom,26
1906,09,cuba,27
1906,10,united kingdom,33
1906,11,united kingdom,23
1906,12,japan,26
1907,01,united kingdom,23
1907,02,japan,24
1907,03,france:italy,11
1907,04,france:united kingdom,13
1907,05,united kingdom,16
1907,06,france,27
1907,07,japan,27
1907,08,france,15
1907,09,france:united kingdom,15
1907,10,united kingdom,18
1907,11,france,24
1907,12,france,23
1908,01,france,28
1908,02,france,30
1908,03,united kingdom,27
1908,04,united kingdom,20
1908,05,france,21
1908,06,france,16
1908,07,germany,21
1908,08,united kingdom,22
1908,09,united kingdom,19
1908,10,united kingdom,23
1908,11,united kingdom,18
1908,12,france,17
1909,01,united kingdom,25
1909,02,united kingdom,23
1909,03,united kingdom,27
1909,04,france,22
1909,05,united kingdom,28
1909,06,france,37
1909,07,united kingdom,32
1909,08,united kingdom:france,25
1909,09,united kingdom,17
1909,10,united kingdom,22
1909,11,united kingdom,15
1909,12,denmark,21
1910,01,france:germany,20
1910,02,france,18
1910,03,france:united kingdom,11
1910,04,france,18
1910,05,united kingdom,19
1910,06,canada,14
1910,07,united kingdom,13
1910,08,united kingdom,14
1910,09,france,18
1910,10,france,16
1910,11,mexico,20
1910,12,united kingdom,16
1911,01,united kingdom,19
1911,02,united kingdom,12
1911,03,mexico,26
1911,04,mexico,20
1911,05,united kingdom,17
1911,06,united kingdom,15
1911,07,united kingdom,26
1911,08,united kingdom,28
1911,09,france,27
1911,10,italy,21
1911,11,italy:united kingdom,14
1911,12,russia,24
1912,01,united kingdom,25
1912,02,united kingdom,13
1912,03,united kingdom,25
1912,04,france,14
1912,05,united kingdom,15
1912,06,united kingdom,13
1912,07,united kingdom,19
1912,08,united kingdom,13
1912,09,united kingdom,18
1912,10,turkey,26
1912,11,turkey,26
1912,12,united kingdom,25
1913,01,united kingdom,19
1913,02,united kingdom:mexico,18
1913,03,united kingdom:cuba,11
1913,04,united kingdom,18
1913,05,united kingdom,21
1913,06,united kingdom,14
1913,07,mexico,25
1913,08,mexico,31
1913,09,united kingdom,22
1913,10,mexico,21
1913,11,mexico,32
1913,12,united kingdom,35
1914,01,mexico,17
1914,02,united kingdom,24
1914,03,united kingdom,23
1914,04,mexico,51
1914,05,mexico,78
1914,06,mexico,20
1914,07,mexico,21
1914,08,germany,257
1914,09,germany,284
1914,10,germany,266
1914,11,germany,206
1914,12,germany,161
1915,01,germany,125
1915,02,germany,143
1915,03,germany,125
1915,04,germany,133
1915,05,germany,160
1915,06,germany,163
1915,07,germany,143
1915,08,germany,175
1915,09,germany,149
1915,10,germany,126
1915,11,germany,124
1915,12,germany,111
1916,01,germany,101
1916,02,germany,135
1916,03,germany,126
1916,04,germany,124
1916,05,germany,127
1916,06,germany,77
1916,07,germany,143
1916,08,germany,114
1916,09,germany,77
1916,10,germany,100
1916,11,germany,123
1916,12,germany,141
1917,01,germany,106
1917,02,germany,145
1917,03,germany,160
1917,04,germany,140
1917,05,germany,114
1917,06,germany,80
1917,07,germany,124
1917,08,germany,132
1917,09,germany,154
1917,10,germany,137
1917,11,germany,115
1917,12,germany,89
1918,01,germany,90
1918,02,germany,112
1918,03,germany,158
1918,04,germany,159
1918,05,germany,153
1918,06,germany,153
1918,07,germany,135
1918,08,germany,160
1918,09,germany,146
1918,10,germany,174
1918,11,germany,153
1918,12,germany,114
1919,01,germany,81
1919,02,germany,80
1919,03,germany,88
1919,04,germany,86
1919,05,germany,98
1919,06,germany,110
1919,07,france,45
1919,08,germany,30
1919,09,united kingdom,24
1919,10,united kingdom,36
1919,11,germany,27
1919,12,germany,37
1920,01,germany,37
1920,02,united kingdom,55
1920,03,germany,58
1920,04,germany,36
1920,05,france,22
1920,06,ireland,21
1920,07,germany,27
1920,08,poland,78
1920,09,italy,23
1920,10,united kingdom,35
1920,11,united kingdom,37
1920,12,united kingdom,32
1921,01,germany,29
1921,02,united kingdom,36
1921,03,germany,59
1921,04,germany,58
1921,05,germany,58
1921,06,united kingdom,43
1921,07,united kingdom,52
1921,08,russia,32
1921,09,united kingdom,30
1921,10,united kingdom,39
1921,11,united kingdom,62
1921,12,united kingdom,60
1922,01,france,38
1922,02,united kingdom,36
1922,03,united kingdom,34
1922,04,russia,42
1922,05,russia,54
1922,06,united kingdom,36
1922,07,germany,31
1922,08,united kingdom,29
1922,09,united kingdom,54
1922,10,united kingdom,43
1922,11,united kingdom,32
1922,12,united kingdom,43
1923,01,france,100
1923,02,france,56
1923,03,germany,45
1923,04,united kingdom,42
1923,05,france,35
1923,06,united kingdom,41
1923,07,france,37
1923,08,germany:united kingdom,30
1923,09,italy,33
1923,10,germany,52
1923,11,united kingdom,47
1923,12,germany,33
1924,01,united kingdom,30
1924,02,united kingdom,14
1924,03,united kingdom:france,26
1924,04,germany,34
1924,05,france,22
1924,06,france,16
1924,07,united kingdom,31
1924,08,united kingdom,38
1924,09,united kingdom:france,21
1924,10,united kingdom,25
1924,11,united kingdom,34
1924,12,france,37
1925,01,france,41
1925,02,france,30
1925,03,france:united kingdom,23
1925,04,united kingdom,26
1925,05,france,43
1925,06,united kingdom,28
1925,07,united kingdom,35
1925,08,france,44
1925,09,france,48
1925,10,france,42
1925,11,united kingdom,25
1925,12,united kingdom,26
1926,01,united kingdom,29
1926,02,france,20
1926,03,france,29
1926,04,france,20
1926,05,united kingdom,56
1926,06,france,28
1926,07,france,32
1926,08,mexico,36
1926,09,france,24
1926,10,france,27
1926,11,united kingdom,24
1926,12,france,19
1927,01,mexico,38
1927,02,united kingdom,44
1927,03,china,48
1927,04,china,37
1927,05,france,44
1927,06,united kingdom,32
1927,07,united kingdom,47
1927,08,united kingdom,33
1927,09,france,43
1927,10,france,34
1927,11,united kingdom,20
1927,12,mexico,39
1928,01,nicaragua,33
1928,02,cuba,20
1928,03,france:united kingdom,20
1928,04,germany,51
1928,05,japan:united kingdom,21
1928,06,france,22
1928,07,france,31
1928,08,france,35
1928,09,united kingdom,32
1928,10,united kingdom,25
1928,11,united kingdom,32
1928,12,united kingdom,40
1929,01,united kingdom,25
1929,02,united kingdom,31
1929,03,mexico,38
1929,04,france,38
1929,05,france,38
1929,06,united kingdom,41
1929,07,united kingdom,50
1929,08,united kingdom,61
1929,09,united kingdom,64
1929,10,united kingdom,39
1929,11,united kingdom,26
1929,12,united kingdom,34
1930,01,united kingdom,51
1930,02,united kingdom,36
1930,03,france,41
1930,04,united kingdom,51
1930,05,united kingdom,44
1930,06,united kingdom,36
1930,07,united kingdom,27
1930,08,united kingdom,31
1930,09,united kingdom,33
1930,10,united kingdom,36
1930,11,united kingdom,43
1930,12,united kingdom,21
1931,01,united kingdom,34
1931,02,united kingdom,30
1931,03,united kingdom,28
1931,04,united kingdom,34
1931,05,united kingdom,46
1931,06,germany,60
1931,07,germany,80
1931,08,united kingdom,47
1931,09,united kingdom,51
1931,10,united kingdom,47
1931,11,japan,67
1931,12,united kingdom,33
1932,01,japan,49
1932,02,japan,114
1932,03,japan,40
1932,04,united kingdom,37
1932,05,japan,23
1932,06,united kingdom,25
1932,07,united kingdom,35
1932,08,united kingdom,29
1932,09,united kingdom,27
1932,10,united kingdom,32
1932,11,united kingdom,42
1932,12,united kingdom,42
1933,01,japan,36
1933,02,japan:united kingdom,37
1933,03,united kingdom,36
1933,04,united kingdom,34
1933,05,united kingdom,55
1933,06,united kingdom,59
1933,07,united kingdom,43
1933,08,cuba,32
1933,09,cuba,33
1933,10,germany,39
1933,11,united kingdom,23
1933,12,united kingdom,24
1934,01,united kingdom,17
1934,02,france,31
1934,03,france:united kingdom,28
1934,04,united kingdom,19
1934,05,france,22
1934,06,united kingdom,31
1934,07,germany,33
1934,08,germany,21
1934,09,united kingdom,15
1934,10,united kingdom,32
1934,11,united kingdom,34
1934,12,united kingdom,21
1935,01,germany,12
1935,02,united kingdom,24
1935,03,united kingdom,32
1935,04,germany,23
1935,05,united kingdom,26
1935,06,united kingdom,28
1935,07,germany,28
1935,08,italy,31
1935,09,italy,51
1935,10,italy,93
1935,11,italy,58
1935,12,united kingdom,45
1936,01,united kingdom,37
1936,02,united kingdom:japan,25
1936,03,united kingdom,46
1936,04,italy,35
1936,05,united kingdom,42
1936,06,united kingdom,15
1936,07,spain,33
1936,08,spain,80
1936,09,spain,37
1936,10,spain,48
1936,11,spain,52
1936,12,united kingdom,58
1937,01,united kingdom,25
1937,02,united kingdom,23
1937,03,united kingdom,26
1937,04,spain,34
1937,05,united kingdom,35
1937,06,spain,35
1937,07,japan,33
1937,08,china,63
1937,09,china:united kingdom,40
1937,10,united kingdom,41
1937,11,united kingdom,29
1937,12,japan,53
1938,01,japan,20
1938,02,united kingdom,42
1938,03,united kingdom,45
1938,04,united kingdom,31
1938,05,united kingdom,33
1938,06,united kingdom,29
1938,07,united kingdom,38
1938,08,japan,30
1938,09,czechia,72
1938,10,germany,44
1938,11,united kingdom,35
1938,12,germany,40
1939,01,spain,34
1939,02,france,43
1939,03,germany,47
1939,04,united kingdom,63
1939,05,united kingdom,40
1939,06,united kingdom,47
1939,07,united kingdom,42
1939,08,united kingdom,63
1939,09,germany,64
1939,10,united kingdom,59
1939,11,united kingdom,70
1939,12,russia,74
1940,01,russia,45
1940,02,united kingdom,45
1940,03,united kingdom,51
1940,04,united kingdom,62
1940,05,germany,56
1940,06,france,79
1940,07,united kingdom,83
1940,08,united kingdom,109
1940,09,united kingdom,84
1940,10,united kingdom,81
1940,11,united kingdom,75
1940,12,united kingdom,73
1941,01,united kingdom,92
1941,02,united kingdom,97
1941,03,united kingdom,93
1941,04,united kingdom,86
1941,05,united kingdom,102
1941,06,united kingdom,67
1941,07,russia,59
1941,08,russia,66
1941,09,russia,57
1941,10,russia,68
1941,11,united kingdom,35
1941,12,japan,62
1942,01,japan,74
1942,02,japan,78
1942,03,japan,56
1942,04,united kingdom,47
1942,05,united kingdom,40
1942,06,united kingdom,54
1942,07,russia,42
1942,08,japan,38
1942,09,russia,39
1942,10,japan,32
1942,11,united kingdom,32
1942,12,japan,35
1943,01,russia:germany,35
1943,02,russia,30
1943,03,germany,57
1943,04,united kingdom,38
1943,05,united kingdom,31
1943,06,italy,25
1943,07,italy,55
1943,08,germany,46
1943,09,italy,59
1943,10,italy:russia,38
1943,11,germany,41
1943,12,germany,40
1944,01,germany,42
1944,02,russia,43
1944,03,germany,40
1944,04,russia,30
1944,05,united kingdom,38
1944,06,germany,42
1944,07,germany,57
1944,08,germany,63
1944,09,germany,57
1944,10,germany,63
1944,11,japan,39
1944,12,japan,43
1945,01,germany,53
1945,02,germany,54
1945,03,germany,57
1945,04,germany,74
1945,05,russia,52
1945,06,japan,56
1945,07,japan,69
1945,08,japan,96
1945,09,japan,73
1945,10,united kingdom,35
1945,11,united kingdom,35
1945,12,russia,50
1946,01,russia,31
1946,02,russia,39
1946,03,russia,84
1946,04,russia,69
1946,05,russia,43
1946,06,russia,45
1946,07,russia,58
1946,08,russia,62
1946,09,russia,46
1946,10,russia,41
1946,11,russia,46
1946,12,russia,40
1947,01,united kingdom,31
1947,02,united kingdom,45
1947,03,russia,34
1947,04,russia,39
1947,05,russia,33
1947,06,russia,48
1947,07,russia,41
1947,08,united kingdom,45
1947,09,united kingdom,52
1947,10,russia,42
1947,11,russia,44
1947,12,russia,44
1948,01,russia,34
1948,02,russia,35
1948,03,russia,56
1948,04,russia,43
1948,05,israel,48
1948,06,russia,41
1948,07,russia,55
1948,08,russia,93
1948,09,russia,60
1948,10,russia,52
1948,11,china,28
1948,12,russia,35
1949,01,israel,47
1949,02,russia,25
1949,03,russia,51
1949,04,russia,52
1949,05,russia:germany,53
1949,06,russia,49
1949,07,russia,35
1949,08,united kingdom,25
1949,09,russia,38
1949,10,russia,47
1949,11,russia,36
1949,12,russia:united kingdom,25
1950,01,russia,28
1950,02,russia,32
1950,03,russia,32
1950,04,russia,30
1950,05,germany,42
1950,06,russia,30
1950,07,russia,21
1950,08,russia,35
1950,09,russia,29
1950,10,russia,36
1950,11,china,43
1950,12,china,35
1951,01,china,30
1951,02,russia,29
1951,03,russia,32
1951,04,united kingdom,32
1951,05,china,28
1951,06,russia,31
1951,07,united kingdom,24
1951,08,russia,40
1951,09,japan,21
1951,10,united kingdom,52
1951,11,russia,26
1951,12,united kingdom,23
1952,01,united kingdom,39
1952,02,united kingdom,30
1952,03,russia,25
1952,04,russia,24
1952,05,germany,36
1952,06,russia,35
1952,07,russia,23
1952,08,russia,24
1952,09,russia,27
1952,10,russia,30
1952,11,united kingdom,15
1952,12,russia,24
1953,01,united kingdom,17
1953,02,russia,23
1953,03,russia,55
1953,04,russia,44
1953,05,united kingdom,27
1953,06,south korea,30
1953,07,russia,41
1953,08,russia,33
1953,09,russia,29
1953,10,russia,26
1953,11,russia,24
1953,12,russia,30
1954,01,russia,28
1954,02,russia,29
1954,03,russia,20
