country,year,count
China,1900,241
Russia,1901,236
United Kingdom,1902,155
Russia,1903,172
Russia,1904,617
Russia,1905,388
Russia,1906,115
France,1907,124
France,1908,107
France,1909,123
France,1910,97
Mexico,1911,113
France,1912,75
Mexico,1913,180
Germany,1914,1140
Germany,1915,1492
Germany,1916,1146
Germany,1917,1326
Germany,1918,1613
Germany,1919,636
Germany,1920,263
Germany,1921,349
France,1922,279
France,1923,397
France,1924,188
France,1925,296
France,1926,206
France,1927,205
France,1928,188
United Kingdom,1929,226
France,1930,221
France,1931,261
Japan,1932,298
France,1933,204
France,1934,157
Italy,1935,324
Italy,1936,222
Japan,1937,262
Germany,1938,241
Germany,1939,327
United Kingdom,1940,502
United Kingdom,1941,527
Japan,1942,466
Russia,1943,335
Germany,1944,471
Japan,1945,467
Russia,1946,585
Russia,1947,422
Russia,1948,553
Russia,1949,432
Russia,1950,350
Russia,1951,286
Russia,1952,275
Russia,1953,349
France,1954,317
Russia,1955,506
Russia,1956,619
Russia,1957,491
Russia,1958,470
Russia,1959,516
Russia,1960,483
Russia,1961,491
Russia,1962,500
Russia,1963,434
Prussia,1964,0
Vietnam,1965,396
Vietnam,1966,396
Vietnam,1967,314
Russia,1968,261
Vietnam,1969,198
Israel,1970,202
Russia,1971,180
Vietnam,1972,168
Israel,1973,171
Israel,1974,142
Israel,1975,124
Lebanon,1976,111
Russia,1977,149
Russia,1978,62
Iran,1979,64
Iran,1980,197
Poland,1981,143
Israel,1982,145
Russia,1983,148
Russia,1984,104
Russia,1985,128
Russia,1986,150
Iran,1987,161
Russia,1988,190
Russia,1989,182
Russia,1990,199
Iraq,1991,211
Japan,1992,108
Japan,1993,91
Japan,1994,102
Japan,1995,103
Russia,1996,82
China,1997,79
China,1998,95
Kosovo,1999,133
China,2000,118
Japan,2001,173
Japan,2002,281
Iraq,2003,496
Iraq,2004,372
Iraq,2005,233
Iraq,2006,253
Iraq,2007,281
China,2008,123
Afghanistan,2009,112
China,2010,168
China,2011,103
China,2012,137
China,2013,121
China,2014,94
China,2015,148
China,2016,127
China,2017,138
China,2018,149